Round,Sample ID,Treatment,Replicate,Date of burial,Initial weight green tea tea only,Initial weight red tea tea only,Recovery date,Final weight green tea tea only,Final weight red tea tea only,Fraction decomposed green tea (ag),Predicted labile fraction red tea (ar), Fraction remaining      red tea (Wt),incubation time      red and green tea (t),S,pre pre k,pre k,k
1,C10,C,10,24-Jun-22,1.94,2.15,25-Sep-22,0.90,1.79,0.536082474,0.351445993,0.83255814,93,0.363322477,1.909989675,0.647097836,0.006958041
1,C16,C,16,24-Jun-22,1.86,2.11,25-Sep-22,0.85,1.80,0.543010753,0.355988047,0.853080569,93,0.355094118,1.702733076,0.532234652,0.005722953
1,C17,C,17,24-Jun-22,2.02,2.09,25-Sep-22,0.94,1.79,0.534653465,0.35050916,0.85645933,93,0.365019637,1.693538759,0.52682028,0.005664734
1,C18,C,18,24-Jun-22,1.97,2.14,25-Sep-22,0.94,1.83,0.52284264,0.342766196,0.855140187,93,0.379046746,1.731961299,0.549254465,0.005905962
1,C19,C,19,24-Jun-22,1.93,2.17,25-Sep-22,0.90,1.88,0.533678756,0.349870159,0.866359447,93,0.366177249,1.618049284,0.481221278,0.005174422
1,C20,C,20,24-Jun-22,1.9,2.2,25-Sep-22,0.88,1.89,0.536842105,0.351943993,0.859090909,93,0.362420303,1.66770515,0.51144852,0.005499446
1,C21,C,21,24-Jun-22,1.96,2.2,25-Sep-22,0.90,1.91,0.540816327,0.354549421,0.868181818,93,0.357700325,1.591826196,0.464881908,0.00499873
1,C22,C,22,24-Jun-22,1.93,2.12,25-Sep-22,0.91,1.76,0.528497409,0.346473361,0.830188679,93,0.372330868,1.961221327,0.673567405,0.00724266
1,C23,C,23,24-Jun-22,1.87,2.07,25-Sep-22,0.82,1.79,0.561497326,0.368107511,0.8647343,93,0.333138567,1.580933898,0.458015747,0.004924901
1,C3,C,3,24-Jun-22,1.91,2.1,25-Sep-22,0.88,1.80,0.539267016,0.353533721,0.857142857,93,0.359540361,1.678087448,0.517654721,0.00556618
1,C4,C,4,24-Jun-22,1.94,2.1,25-Sep-22,0.92,1.79,0.525773196,0.344687416,0.852380952,93,0.375566276,1.749075303,0.55908725,0.006011691
1,C5,C,5,24-Jun-22,1.89,2.12,25-Sep-22,0.87,NA,0.53968254,0.353806131,NA,93,0.359046865,NA,NA,NA
1,C6,C,6,24-Jun-22,1.92,2.08,25-Sep-22,0.91,1.76,0.526041667,0.34486342,0.846153846,93,0.375247427,1.805404436,0.590784631,0.006352523
1,C7,C,7,24-Jun-22,2.01,2.16,25-Sep-22,1.00,1.87,0.502487562,0.329421775,0.865740741,93,0.403221423,1.687935688,0.523506296,0.0056291
1,C8,C,8,24-Jun-22,1.9,2.16,25-Sep-22,0.88,1.86,0.536842105,0.351943993,0.861111111,93,0.362420303,1.651891864,0.501921215,0.005397002
1,C9,C,9,24-Jun-22,1.86,2.14,25-Sep-22,0.81,1.84,0.564516129,0.370086583,0.859813084,93,0.329553291,1.609774331,0.476094002,0.00511929
1,R10,R,10,24-Jun-22,2,2.11,25-Sep-22,0.90,1.75,0.55,0.360570071,0.829383886,93,0.346793349,1.898197205,0.640904596,0.006891447
1,R16,R,16,24-Jun-22,1.9,2.23,25-Sep-22,0.87,1.84,0.542105263,0.355394424,0.825112108,93,0.356169521,1.968872929,0.677461262,0.00728453
1,R17,R,17,24-Jun-22,1.99,2.12,25-Sep-22,0.94,1.82,0.527638191,0.345910073,0.858490566,93,0.373351317,1.692314049,0.526096852,0.005656955
1,R18,R,18,24-Jun-22,1.96,2.17,25-Sep-22,0.93,1.88,0.525510204,0.344515003,0.866359447,93,0.375878617,1.633744642,0.490874707,0.005278223
1,R19,R,19,24-Jun-22,1.96,2.15,25-Sep-22,0.92,1.84,0.530612245,0.347859809,0.855813953,93,0.369819187,1.707926464,0.535280041,0.005755699
1,R20,R,20,24-Jun-22,1.98,2.1,25-Sep-22,0.97,1.80,0.51010101,0.334413014,0.857142857,93,0.394179323,1.74577272,0.557197277,0.005991369
1,R21,R,21,24-Jun-22,1.9,2.12,25-Sep-22,0.52,1.85,0.726315789,0.47615952,0.872641509,93,0.137392174,1.36513221,0.311251281,0.003346788
1,R22,R,22,24-Jun-22,2,2.1,25-Sep-22,0.97,1.83,0.515,0.337624703,0.871428571,93,0.388361045,1.61501753,0.479345811,0.005154256
1,R23,R,23,24-Jun-22,1.86,2.16,25-Sep-22,0.84,1.87,0.548387097,0.359512681,0.865740741,93,0.348708911,1.596036492,0.467523363,0.005027133
1,R3,R,3,24-Jun-22,1.82,2.13,25-Sep-22,0.79,1.81,0.565934066,0.371016157,0.849765258,93,0.32786928,1.680468243,0.51907247,0.005581424
1,R4,R,4,24-Jun-22,1.96,2.17,25-Sep-22,0.93,1.87,0.525510204,0.344515003,0.861751152,93,0.375878617,1.670244945,0.51297029,0.00551581
1,R5,R,5,24-Jun-22,1.91,2.12,25-Sep-22,0.89,1.82,0.534031414,0.350101354,0.858490566,93,0.365758416,1.678403237,0.517842887,0.005568203
1,R6,R,6,24-Jun-22,1.96,2.1,25-Sep-22,0.90,1.78,0.540816327,0.354549421,0.847619048,93,0.357700325,1.753732536,0.561746394,0.006040284
1,R7,R,7,24-Jun-22,1.86,2.12,25-Sep-22,0.83,1.78,0.553763441,0.363037315,0.839622642,93,0.342323704,1.791361851,0.582976141,0.006268561
1,R8,R,8,24-Jun-22,1.9,2.07,25-Sep-22,0.88,1.68,0.536842105,0.351943993,0.811594203,93,0.362420303,2.152059897,0.766425475,0.008241134
1,R9,R,9,24-Jun-22,1.94,2.11,25-Sep-22,0.90,1.82,0.536082474,0.351445993,0.862559242,93,0.363322477,1.642230826,0.496055577,0.005333931
2,C10,C,10,25-Sep-22,2.12,2.19,21-Dec-22,0.94,1.80,0.556603774,0.364899386,0.821917808,87,0.338950388,1.953243049,0.669491093,0.0076953
2,C16,C,16,25-Sep-22,2.08,2.19,21-Dec-22,0.91,1.81,0.5625,0.368764846,0.826484018,87,0.331947743,1.888691377,0.635884196,0.007309014
2,C17,C,17,25-Sep-22,1.99,2.2,21-Dec-22,0.88,1.82,0.557788945,0.365676363,0.827272727,87,0.337542821,1.895196099,0.639322315,0.007348532
2,C18,C,18,25-Sep-22,2.17,2.17,21-Dec-22,1.04,1.79,0.520737327,0.341385991,0.824884793,87,0.381547117,2.05319289,0.719396089,0.008268921
